episode,game,exploration,explored,safe,MA_explored,MA_safe
612,[12]_forecast_horizon=[10],1.0,55.4,62.2,48.6,52.5
613,[13]_forecast_horizon=[22],1.0,79.5,81.7,48.6,52.5
614,[14]_forecast_horizon=[12],1.0,41.6,50.1,48.0,52.0
615,[15]_forecast_horizon=[27],1.0,46.0,63.2,47.5,52.0
616,[16]_forecast_horizon=[14],1.0,64.5,64.5,47.5,52.0
617,[17]_forecast_horizon=[18],1.0,54.0,54.0,47.5,52.0
618,[18]_forecast_horizon=[17],1.0,45.8,43.9,47.5,52.0
619,[19]_forecast_horizon=[18],1.0,38.8,41.6,47.5,52.0
620,[20]_forecast_horizon=[25],1.0,39.8,55.8,47.5,52.5
621,[21]_forecast_horizon=[18],1.0,41.6,46.7,47.5,52.5
622,[22]_forecast_horizon=[11],1.0,14.5,4.3,47.5,52.5
623,[23]_forecast_horizon=[15],1.0,72.7,72.7,47.5,52.5
624,[24]_forecast_horizon=[18],1.0,62.7,62.7,47.5,52.5
625,[25]_forecast_horizon=[12],1.0,26.7,51.1,47.5,52.5
626,[26]_forecast_horizon=[12],1.0,18.2,7.5,47.5,52.5
627,[27]_forecast_horizon=[25],1.0,70.4,70.4,47.5,52.5
628,[28]_forecast_horizon=[28],1.0,71.5,79.6,47.5,52.5
629,[29]_forecast_horizon=[23],1.0,-13.9,-13.9,47.5,52.5
630,[30]_forecast_horizon=[28],1.0,-25.7,-5.6,47.5,52.5
631,[31]_forecast_horizon=[14],1.0,54.2,54.2,47.5,52.5
632,[32]_forecast_horizon=[15],1.0,85.7,85.7,47.5,52.5
633,[33]_forecast_horizon=[10],1.0,45.5,53.7,47.0,52.5
634,[34]_forecast_horizon=[18],1.0,67.5,67.5,47.0,52.5
635,[35]_forecast_horizon=[22],1.0,66.6,66.6,47.0,52.5
636,[36]_forecast_horizon=[14],1.0,50.3,50.3,47.5,52.5
637,[37]_forecast_horizon=[19],1.0,87.7,87.7,47.5,52.5
638,[38]_forecast_horizon=[27],1.0,45.3,89.9,47.0,52.5
639,[39]_forecast_horizon=[24],1.0,81.4,81.4,47.0,52.5
640,[40]_forecast_horizon=[15],1.0,45.1,45.1,46.3,52.0
641,[41]_forecast_horizon=[19],1.0,53.0,53.0,46.3,52.5
642,[42]_forecast_horizon=[11],1.0,59.0,73.4,46.3,52.5
643,[43]_forecast_horizon=[15],1.0,64.5,71.7,46.3,52.8
644,[44]_forecast_horizon=[19],1.0,73.7,73.7,46.3,52.8
645,[45]_forecast_horizon=[27],1.0,-9.1,38.6,46.3,52.8
646,[46]_forecast_horizon=[17],1.0,65.5,62.7,47.0,53.3
647,[47]_forecast_horizon=[28],1.0,-30.1,-30.1,47.0,53.3
648,[48]_forecast_horizon=[14],1.0,77.8,77.8,47.0,53.3
649,[49]_forecast_horizon=[17],1.0,68.4,68.1,47.0,53.3
650,[50]_forecast_horizon=[16],1.0,42.7,48.0,46.3,53.3
651,[51]_forecast_horizon=[28],1.0,63.3,69.3,46.3,53.3
652,[52]_forecast_horizon=[20],1.0,5.7,14.6,45.9,52.8
653,[53]_forecast_horizon=[26],1.0,93.2,93.2,45.9,52.8
654,[54]_forecast_horizon=[22],1.0,92.0,90.1,45.9,52.8
655,[55]_forecast_horizon=[20],1.0,74.6,68.4,45.9,52.8
656,[56]_forecast_horizon=[15],1.0,81.9,87.3,46.3,52.8
657,[57]_forecast_horizon=[22],1.0,-10.4,15.7,46.3,52.8
658,[58]_forecast_horizon=[28],1.0,-2.7,37.7,46.3,52.8
659,[59]_forecast_horizon=[21],1.0,36.6,36.6,45.9,52.8
660,[60]_forecast_horizon=[10],1.0,0.0,-12.4,45.9,52.8
661,[61]_forecast_horizon=[11],1.0,57.0,53.0,45.9,52.8
662,[62]_forecast_horizon=[18],1.0,0.0,0.0,45.9,52.8
663,[63]_forecast_horizon=[24],1.0,49.0,57.9,45.9,52.8
664,[64]_forecast_horizon=[26],1.0,-26.0,-52.0,45.9,52.8
665,[65]_forecast_horizon=[13],1.0,44.3,40.5,45.6,52.8
666,[66]_forecast_horizon=[27],1.0,36.2,64.2,45.4,52.8
667,[67]_forecast_horizon=[12],1.0,31.1,38.9,45.2,52.8
668,[68]_forecast_horizon=[13],1.0,39.9,40.5,45.1,52.8
669,[69]_forecast_horizon=[12],1.0,59.7,65.5,45.1,52.8
670,[70]_forecast_horizon=[29],1.0,11.2,11.2,45.1,52.8
671,[71]_forecast_horizon=[17],1.0,55.1,61.9,45.1,52.8
672,[72]_forecast_horizon=[27],1.0,78.8,78.8,45.1,52.8
673,[73]_forecast_horizon=[12],1.0,71.9,71.9,45.1,52.8
674,[74]_forecast_horizon=[23],1.0,-8.6,-15.7,45.1,52.8
675,[75]_forecast_horizon=[26],1.0,68.1,63.2,45.1,52.8
676,[76]_forecast_horizon=[29],1.0,-6.9,23.3,45.1,52.8
677,[77]_forecast_horizon=[18],1.0,-9.1,42.6,45.1,52.8
678,[78]_forecast_horizon=[21],1.0,58.1,62.4,45.1,53.0
679,[79]_forecast_horizon=[10],1.0,34.9,37.7,45.1,53.0
680,[80]_forecast_horizon=[11],1.0,76.2,72.3,45.1,53.0
681,[81]_forecast_horizon=[14],1.0,53.6,44.9,45.2,52.8
682,[82]_forecast_horizon=[26],1.0,15.2,32.8,45.2,52.8
683,[83]_forecast_horizon=[18],1.0,44.0,26.5,45.2,52.8
684,[84]_forecast_horizon=[29],1.0,52.1,52.1,45.4,52.8
685,[85]_forecast_horizon=[11],1.0,49.0,54.6,45.6,52.8
686,[86]_forecast_horizon=[25],1.0,42.7,51.4,45.6,52.8
687,[87]_forecast_horizon=[23],1.0,43.4,31.4,45.6,52.8
688,[88]_forecast_horizon=[19],1.0,68.2,43.3,45.9,52.8
689,[89]_forecast_horizon=[25],1.0,62.1,60.3,45.9,52.8
690,[90]_forecast_horizon=[25],1.0,56.4,52.7,45.9,52.7
691,[91]_forecast_horizon=[14],1.0,43.9,46.0,45.9,52.7
692,[92]_forecast_horizon=[20],1.0,63.2,56.1,45.9,52.7
693,[93]_forecast_horizon=[15],1.0,78.1,72.5,45.9,52.7
694,[94]_forecast_horizon=[13],1.0,51.8,51.8,45.9,52.4
695,[95]_forecast_horizon=[27],1.0,61.8,64.5,47.5,52.9
696,[96]_forecast_horizon=[29],1.0,51.9,54.5,47.5,52.9
697,[97]_forecast_horizon=[15],1.0,22.6,22.6,47.5,52.9
698,[98]_forecast_horizon=[13],1.0,58.1,64.7,47.5,52.9
