episode,game,exploration,explored,safe,MA_explored,MA_safe
81,[81]_forecast_horizon=[14],43.9,-250.1,0.0,-145.6,0.0
82,[82]_forecast_horizon=[26],43.4,-41.8,0.0,-145.0,0.0
83,[83]_forecast_horizon=[18],43.0,-60.5,0.0,-143.6,0.0
84,[84]_forecast_horizon=[29],42.6,-57.3,0.0,-142.1,0.0
85,[85]_forecast_horizon=[11],42.1,-33.7,0.0,-139.4,0.0
86,[86]_forecast_horizon=[25],41.7,-141.3,0.0,-141.3,0.0
87,[87]_forecast_horizon=[23],41.3,-155.2,0.0,-141.7,0.0
88,[88]_forecast_horizon=[19],40.9,-104.1,0.0,-141.3,0.0
89,[89]_forecast_horizon=[25],40.5,4.1,0.0,-139.0,0.0
90,[90]_forecast_horizon=[25],40.1,-59.8,0.0,-136.6,0.0
91,[91]_forecast_horizon=[14],39.7,-146.9,0.0,-139.0,0.0
92,[92]_forecast_horizon=[20],39.3,-65.5,0.0,-136.6,0.0
93,[93]_forecast_horizon=[15],38.9,-39.2,0.0,-134.0,0.0
94,[94]_forecast_horizon=[13],38.5,16.5,0.0,-131.5,0.0
95,[95]_forecast_horizon=[27],38.1,5.9,0.0,-131.4,0.0
96,[96]_forecast_horizon=[29],37.7,-1.7,0.0,-131.3,0.0
97,[97]_forecast_horizon=[15],37.3,-157.3,0.0,-131.4,0.0
98,[98]_forecast_horizon=[13],37.0,-85.0,0.0,-131.3,0.0
99,[99]_forecast_horizon=[27],36.6,-351.6,0.0,-131.4,0.0
100,[0]_forecast_horizon=[10],36.2,-85.4,0.0,-130.0,0.0
101,[1]_forecast_horizon=[23],35.9,-122.5,0.0,-127.8,0.0
102,[2]_forecast_horizon=[23],35.5,-22.2,0.0,-127.8,0.0
103,[3]_forecast_horizon=[29],35.2,-112.8,0.0,-124.7,0.0
104,[4]_forecast_horizon=[25],34.8,-145.3,0.0,-124.7,0.0
105,[5]_forecast_horizon=[26],34.5,-267.1,0.0,-124.7,0.0
106,[6]_forecast_horizon=[29],34.1,-144.7,0.0,-124.7,0.0
107,[7]_forecast_horizon=[10],33.8,-55.2,0.0,-121.2,0.0
108,[8]_forecast_horizon=[23],33.4,-214.7,0.0,-121.2,0.0
109,[9]_forecast_horizon=[15],33.1,-177.7,0.0,-121.2,0.0
110,[10]_forecast_horizon=[18],32.8,-48.1,0.0,-116.5,0.0
111,[11]_forecast_horizon=[13],32.4,-5.0,0.0,-116.5,0.0
112,[12]_forecast_horizon=[10],32.1,-48.6,0.0,-113.0,0.0
113,[13]_forecast_horizon=[22],31.8,-16.9,0.0,-113.0,0.0
114,[14]_forecast_horizon=[12],31.5,-21.8,0.0,-111.6,0.0
115,[15]_forecast_horizon=[27],31.2,25.0,0.0,-111.6,0.0
116,[16]_forecast_horizon=[14],30.9,6.0,0.0,-111.6,0.0
117,[17]_forecast_horizon=[18],30.5,-6.4,0.0,-110.0,0.0
118,[18]_forecast_horizon=[17],30.2,-35.3,0.0,-106.9,0.0
119,[19]_forecast_horizon=[18],29.9,-7.4,0.0,-106.9,0.0
120,[20]_forecast_horizon=[25],29.6,-36.4,0.0,-103.9,0.0
121,[21]_forecast_horizon=[18],29.3,23.1,0.0,-100.8,0.0
122,[22]_forecast_horizon=[11],29.0,-35.8,0.0,-97.7,0.0
123,[23]_forecast_horizon=[15],28.8,-8.1,0.0,-96.1,0.0
124,[24]_forecast_horizon=[18],28.5,-56.7,0.0,-96.1,0.0
125,[25]_forecast_horizon=[12],28.2,5.0,0.0,-96.1,0.0
126,[26]_forecast_horizon=[12],27.9,-59.2,0.0,-90.1,0.0
127,[27]_forecast_horizon=[25],27.6,-32.1,0.0,-85.2,0.0
128,[28]_forecast_horizon=[28],27.3,0.9,0.0,-83.7,0.0
129,[29]_forecast_horizon=[23],27.1,-227.9,0.0,-83.7,0.0
130,[30]_forecast_horizon=[28],26.8,-194.2,0.0,-83.7,0.0
131,[31]_forecast_horizon=[14],26.5,-16.4,0.0,-83.7,0.0
132,[32]_forecast_horizon=[15],26.3,-81.4,0.0,-81.9,0.0
133,[33]_forecast_horizon=[10],26.0,-9.5,0.0,-81.3,0.0
134,[34]_forecast_horizon=[18],25.7,-87.0,0.0,-81.3,0.0
135,[35]_forecast_horizon=[22],25.5,-63.2,0.0,-79.3,0.0
136,[36]_forecast_horizon=[14],25.2,-36.8,0.0,-72.2,0.0
137,[37]_forecast_horizon=[19],25.0,7.0,0.0,-66.2,0.0
138,[38]_forecast_horizon=[27],24.7,-81.4,0.0,-66.2,0.0
139,[39]_forecast_horizon=[24],24.5,-39.0,0.0,-65.0,0.0
140,[40]_forecast_horizon=[15],24.2,-94.7,0.0,-65.0,0.0
141,[41]_forecast_horizon=[19],24.0,25.4,0.0,-63.8,0.0
142,[42]_forecast_horizon=[11],23.8,-30.7,0.0,-62.9,0.0
143,[43]_forecast_horizon=[15],23.5,-71.4,0.0,-62.9,0.0
144,[44]_forecast_horizon=[19],23.3,68.0,0.0,-62.5,0.0
145,[45]_forecast_horizon=[27],23.1,-186.5,0.0,-62.5,0.0
146,[46]_forecast_horizon=[17],22.8,-33.5,0.0,-61.5,0.0
147,[47]_forecast_horizon=[28],22.6,-660.6,0.0,-61.5,0.0
148,[48]_forecast_horizon=[14],22.4,12.0,0.0,-61.5,0.0
149,[49]_forecast_horizon=[17],22.1,-0.5,0.0,-61.5,0.0
150,[50]_forecast_horizon=[16],21.9,-34.4,0.0,-60.2,0.0
151,[51]_forecast_horizon=[28],21.7,-50.3,0.0,-59.5,0.0
152,[52]_forecast_horizon=[20],21.5,-115.4,0.0,-59.5,0.0
153,[53]_forecast_horizon=[26],21.3,-44.9,0.0,-58.9,0.0
154,[54]_forecast_horizon=[22],21.1,-6.8,0.0,-58.9,0.0
155,[55]_forecast_horizon=[20],20.8,43.8,0.0,-58.9,0.0
156,[56]_forecast_horizon=[15],20.6,41.4,36.4,-58.9,0.0
157,[57]_forecast_horizon=[22],20.4,-78.6,3.1,-58.9,0.0
158,[58]_forecast_horizon=[28],20.2,-88.7,0.0,-58.9,0.0
159,[59]_forecast_horizon=[21],20.0,-46.8,69.7,-58.0,0.0
160,[60]_forecast_horizon=[10],19.8,-24.6,24.8,-57.0,0.0
161,[61]_forecast_horizon=[11],19.6,49.3,64.0,-55.9,0.0
162,[62]_forecast_horizon=[18],19.4,-62.8,46.5,-55.9,0.0
163,[63]_forecast_horizon=[24],19.2,3.6,45.6,-52.8,0.0
164,[64]_forecast_horizon=[26],19.0,-159.1,0.0,-52.8,0.0
165,[65]_forecast_horizon=[13],18.9,6.0,20.4,-49.5,0.0
166,[66]_forecast_horizon=[27],18.7,-144.1,64.2,-49.5,0.0
167,[67]_forecast_horizon=[12],18.5,-42.7,67.7,-48.3,0.0
168,[68]_forecast_horizon=[13],18.3,10.8,57.1,-47.5,0.0
169,[69]_forecast_horizon=[12],18.1,34.5,53.4,-45.9,0.0
170,[70]_forecast_horizon=[29],17.9,-95.2,-36.4,-45.9,0.0
171,[71]_forecast_horizon=[17],17.8,38.1,57.9,-43.8,0.0
172,[72]_forecast_horizon=[27],17.6,5.3,58.4,-42.3,0.0
173,[73]_forecast_horizon=[12],17.4,30.4,62.4,-40.5,0.0
174,[74]_forecast_horizon=[23],17.2,-87.0,13.9,-40.5,0.0
175,[75]_forecast_horizon=[26],17.1,57.7,16.1,-40.5,0.0
176,[76]_forecast_horizon=[29],16.9,-114.8,0.0,-40.5,0.0
177,[77]_forecast_horizon=[18],16.7,-215.2,0.0,-40.5,0.0
178,[78]_forecast_horizon=[21],16.5,11.0,47.1,-40.5,0.0
179,[79]_forecast_horizon=[10],16.4,15.5,35.8,-40.5,0.0
180,[80]_forecast_horizon=[11],16.2,25.0,62.7,-40.5,0.0
181,[81]_forecast_horizon=[14],16.1,-42.0,0.0,-40.5,0.0
182,[82]_forecast_horizon=[26],15.9,-50.8,9.6,-40.6,0.0
183,[83]_forecast_horizon=[18],15.7,9.9,41.8,-39.1,0.0
184,[84]_forecast_horizon=[29],15.6,-13.2,26.7,-37.9,0.0
185,[85]_forecast_horizon=[11],15.4,39.2,49.5,-37.9,0.0
186,[86]_forecast_horizon=[25],15.3,-26.3,34.6,-36.6,0.0
187,[87]_forecast_horizon=[23],15.1,-58.7,61.8,-36.6,0.0
188,[88]_forecast_horizon=[19],15.0,-27.2,33.2,-36.1,0.0
189,[89]_forecast_horizon=[25],14.8,-13.3,25.0,-36.1,0.0
190,[90]_forecast_horizon=[25],14.7,-9.6,29.0,-35.5,0.0
191,[91]_forecast_horizon=[14],14.5,-27.0,28.8,-34.8,0.0
192,[92]_forecast_horizon=[20],14.4,-22.7,26.8,-34.0,0.0
193,[93]_forecast_horizon=[15],14.2,20.1,47.1,-32.8,0.0
194,[94]_forecast_horizon=[13],14.1,1.7,48.6,-32.8,0.0
195,[95]_forecast_horizon=[27],13.9,15.5,37.2,-32.8,0.0
196,[96]_forecast_horizon=[29],13.8,29.3,59.1,-32.8,0.0
197,[97]_forecast_horizon=[15],13.7,-48.5,36.2,-32.8,0.0
198,[98]_forecast_horizon=[13],13.5,0.1,38.5,-31.4,0.0
199,[99]_forecast_horizon=[27],13.4,-198.9,7.9,-31.4,0.0
